"","X","GEO.id2","STATEFP","COUNTYFP","TRACTCE","POPULATION","LATITUDE","LONGITUDE","GEO.display.label","Median_house_value","Total_units","Vacant_units","Median_rooms","Mean_household_size_owners","Mean_household_size_renters","Built_2005_or_later","Built_2000_to_2004","Built_1990s","Built_1980s","Built_1970s","Built_1960s","Built_1950s","Built_1940s","Built_1939_or_earlier","Bedrooms_0","Bedrooms_1","Bedrooms_2","Bedrooms_3","Bedrooms_4","Bedrooms_5_or_more","Owners","Renters","Median_household_income","Mean_household_income"
"1",1,6001400100,6,1,400100,2937,37.859419,-122.230389,"Census Tract 4001, Alameda County, California",NA,1425,162,6.5,2.02,1.59,4.6,9.3,50.9,2.5,4.8,1.3,13.9,2.8,9.9,3.6,5.6,11.9,40.6,31.6,6.7,81.2,18.8,156250,237805
"2",2,6001400200,6,1,400200,1974,37.848292,-122.249525,"Census Tract 4002, Alameda County, California",909600,929,37,6,2.53,1.81,0,1.2,0,1.3,6.1,6.5,1,10.8,73.2,3,16.4,27.4,34.4,17.5,1.2,66,34,111667,195229
"3",3,6001400300,6,1,400300,4865,37.840265,-122.254416,"Census Tract 4003, Alameda County, California",748700,2655,134,4.6,2.45,1.66,0,0,2.3,3.2,5.2,8.3,5.3,7.8,68,11.5,28.4,29.2,20.4,7.9,2.7,45.1,54.9,66094,105877
"4",4,6001400400,6,1,400400,3703,37.848451,-122.25731,"Census Tract 4004, Alameda County, California",773600,1911,68,5,2.04,2.19,0,0.2,1.3,0,4.9,4.3,8,10.4,71.1,5.2,27.7,33.7,21.9,7.3,4.2,45,55,87306,106248
"5",5,6001400500,6,1,400500,3517,37.848941,-122.264742,"Census Tract 4005, Alameda County, California",579200,1703,71,4.5,2.66,1.72,0,0.2,1.1,1.9,3.7,5.8,6,7.5,73.8,4.9,30.2,38.1,19.3,5.4,2.1,43.6,56.4,62386,74604
"6",6,6001400600,6,1,400600,1571,37.842226,-122.264926,"Census Tract 4006, Alameda County, California",480800,781,65,4.8,2.58,2.18,0,0,1.2,1.4,1,6.5,19.7,17,53.1,3.5,20.4,40.1,30.7,4.6,0.8,51,49,55658,73933
"7",7,6001400700,6,1,400700,4206,37.841719,-122.27215,"Census Tract 4007, Alameda County, California",460800,1977,236,4.3,2.72,2.15,0,0.6,1.8,2.2,3.3,0.8,9.4,9.7,72.4,8.2,22.3,43.2,16.7,6.5,3.1,32.2,67.8,38646,56705
"8",8,6001400800,6,1,400800,3594,37.845393,-122.283126,"Census Tract 4008, Alameda County, California",473500,1738,257,4.3,2.17,1.93,13.1,4.1,1.6,2.4,7.8,3.7,7.5,13.3,46.5,8.9,25,37.5,25,2.1,1.4,28.3,71.7,52837,66822
"9",9,6001400900,6,1,400900,2302,37.839285,-122.280316,"Census Tract 4009, Alameda County, California",439300,1202,80,4.4,2.7,1.92,0,2.2,0.6,5.9,0,5.5,9.1,14.7,62,14.2,20.1,39.4,18.3,5.5,2.5,31.7,68.3,59091,59690
"10",10,6001401000,6,1,401000,5678,37.831263,-122.272163,"Census Tract 4010, Alameda County, California",369800,2665,500,4.6,2.75,2.08,0,2.2,0,0.5,4.3,11.2,11.3,8.5,62.1,6.1,29.3,35.4,25.3,3.9,0,35.1,64.9,40402,50056
"11",11,6001401100,6,1,401100,4156,37.829959,-122.263403,"Census Tract 4011, Alameda County, California",467200,2182,148,3.5,2.3,1.96,0.4,1.1,1.7,0.5,4.1,3.6,13.4,11.8,63.3,11,44,24.4,16.1,3.7,0.8,16.8,83.2,44140,56674
"12",12,6001401200,6,1,401200,2416,37.830988,-122.258039,"Census Tract 4012, Alameda County, California",591200,1372,33,4.3,2.02,1.61,0,2.2,0.6,3.1,1.4,3.5,8.2,13.9,67.1,6.2,29.2,40.8,20.4,2.9,0.4,41.7,58.3,59554,81476
"13",13,6001401300,6,1,401300,3528,37.8165,-122.26787,"Census Tract 4013, Alameda County, California",352400,1908,227,3,1.45,1.97,5.9,8.4,3.2,7.3,8,16.3,7.1,6.6,37.2,22.5,47,17.5,11.1,0.4,1.6,12.5,87.5,31080,45789
"14",14,6001401400,6,1,401400,4314,37.819904,-122.273309,"Census Tract 4014, Alameda County, California",322700,1870,432,3.9,2.15,2.6,0,1.8,2.5,3.3,7.2,2.4,8.4,9.4,65,12.4,26.5,31.9,20.2,7.6,1.3,18.1,81.9,30777,38234
"15",15,6001401500,6,1,401500,2630,37.823505,-122.28048,"Census Tract 4015, Alameda County, California",353700,1254,382,3.9,2.09,1.86,3.9,2.6,4.9,2.6,0,3.5,6,6.5,69.9,15.2,28.1,32.5,21.2,1.4,1.6,40.4,59.6,27183,47209
"16",16,6001401600,6,1,401600,2163,37.81667,-122.279621,"Census Tract 4016, Alameda County, California",321600,947,173,4.1,3.47,2.17,0,27.6,4.4,7,4.2,3,12.6,1.4,39.9,1.9,22.4,42.9,24.9,5.7,2.2,18,82,37679,47593
"17",17,6001401700,6,1,401700,2667,37.817286,-122.293793,"Census Tract 4017, Alameda County, California",377800,1025,167,4.1,2.51,3.1,36.3,5.2,8,2.7,4.8,1.1,5.2,4.4,32.4,6.4,20.8,42.8,24.7,2,3.2,44.4,55.6,62895,79060
"18",18,6001401800,6,1,401800,1703,37.809593,-122.298293,"Census Tract 4018, Alameda County, California",334100,854,277,4.6,3.28,2.53,1.1,5.4,9.6,2.1,1.1,9.4,7.6,11,52.8,7.5,16.6,31.6,30.7,5,8.5,15.1,84.9,30370,38382
"19",19,6001402200,6,1,402200,2385,37.807292,-122.295186,"Census Tract 4022, Alameda County, California",374200,1020,158,4.5,2.92,2.31,0.9,9.2,1.6,0.9,6.9,2.3,4.9,12.4,61.1,9.3,19.8,28.7,31.6,4.8,5.8,32,68,39286,52775
"20",20,6001402400,6,1,402400,2351,37.811419,-122.28219,"Census Tract 4024, Alameda County, California",330900,1210,126,4.1,3.45,2.01,0,2.6,2.4,7,10.6,12.1,9.4,8.4,47.4,10.4,21.7,33.8,17.5,8,8.5,14.9,85.1,20874,29672
"21",21,6001402500,6,1,402500,1784,37.804984,-122.285183,"Census Tract 4025, Alameda County, California",285500,846,79,4.3,2.21,2.72,0,5,11.9,7.3,23.6,15.1,10,4.7,22.2,4.5,22.6,35.9,26.8,10.2,0,23.5,76.5,21571,36145
"22",22,6001402600,6,1,402600,1151,37.804782,-122.279657,"Census Tract 4026, Alameda County, California",356000,628,71,3,2.2,1.44,3.7,15.9,10,7,26.9,4,8.4,0,24,14.2,48.7,18.5,9.6,6.4,2.7,23.2,76.8,22531,45619
"23",23,6001402700,6,1,402700,1569,37.810251,-122.277443,"Census Tract 4027, Alameda County, California",347600,796,131,4,2.25,2.24,0,4.3,4.9,0.8,14.1,1.9,3.4,8.7,62.1,8.8,26,29,24.1,2.8,9.3,37.3,62.7,35080,48131
"24",24,6001402800,6,1,402800,3345,37.808665,-122.272709,"Census Tract 4028, Alameda County, California",324100,1716,211,2.5,1.71,1.35,20,3.8,1.8,10.8,8.3,5.1,8.1,5.5,36.5,37.8,39.3,14,3.9,1.6,3.4,9.6,90.4,21993,41640
"25",25,6001402900,6,1,402900,1434,37.804261,-122.267119,"Census Tract 4029, Alameda County, California",NA,894,120,2.6,NA,1.48,1.9,0,0,3,13.6,8.2,8.6,16.9,47.8,30.6,65.2,2,0,0,2.1,1.4,98.6,19766,27340
"26",26,6001403000,6,1,403000,2788,37.800788,-122.270661,"Census Tract 4030, Alameda County, California",369900,1597,375,3,1.54,1.91,2.4,3.2,19.2,8.1,18.8,3.3,4.6,6.8,33.7,14.8,46.2,29.4,4.9,3.3,1.4,21.6,78.4,17569,33976
"27",27,6001403100,6,1,403100,2238,37.801099,-122.276502,"Census Tract 4031, Alameda County, California",407100,655,82,3,1.71,1.75,32.1,3.2,23.8,1.5,2.1,4.3,5.8,3.8,23.4,30.2,22,36.8,6.1,0,4.9,41.5,58.5,42625,56426
