Rank	Name	Population (2013)	Population (2010)	Type	County
1	Charlotte 	792862	731424	City	Mecklenburg
2	Raleigh 	431746	403892	City	Wake
3	Greensboro 	279639	269666	City	Guilford
4	Durham 	245475	228330	City	Durham
5	Winston-Salem 	236441	229618	City	Forsyth
6	Fayetteville 	204408	200564	City	Cumberland
7	Cary	151088	135234	Town	Wake
8	Wilmington 	112067	106476	City	New Hanover
9	High Point	107741	104371	City	Guilford
10	Greenville 	89130	84554	City	Pitt
11	Asheville 	87236	85712	City	Buncombe
12	Concord 	83506	79066	City	Cabarrus
13	Gastonia 	73209	71741	City	Gaston
14	Jacksonville 	69079	70145	City	Onslow
15	Chapel Hill	59635	57233	Town	Orange
16	Rocky Mount	56954	57477	City	Nash
17	Burlington	51510	49963	City	Alamance
18	Huntersville	50458	46773	Town	Mecklenburg
19	Wilson 	49628	49167	City	Wilson
20	Kannapolis	44359	42625	City	Cabarrus
21	Apex	42214	37476	Town	Wake
22	Hickory	40361	40010	City	Catawba
23	Goldsboro 	36306	36437	City	Wayne
24	Indian Trail	35494	33518	Town	Union
25	Mooresville	34887	32711	Town	Iredell
26	Wake Forest	34752	30117	Town	Wake
27	Monroe 	33975	32797	City	Union
28	Salisbury 	33604	33622	City	Rowan
29	New Bern 	30242	29524	City	Craven
30	Sanford 	29470	28094	City	Lee
31	Matthews	29384	27198	Town	Mecklenburg
32	Holly Springs	28915	24661	Town	Wake
33	Thomasville	26968	26757	City	Davidson Randolph
34	Cornelius	26898	24866	Town	Mecklenburg
35	Garner	26772	25745	Town	Wake
36	Asheboro 	25913	25012	City	Randolph
37	Statesville 	25432	24532	City	Iredell
38	Mint Hill	24543	22722	Town	Mecklenburg Union
39	Kernersville	23567	23123	Town	Forsyth Guilford
40	Morrisville	20591	18576	Town	Wake
41	Lumberton 	21823	21542	City	Robeson
42	Kinston 	21641	21677	City	Lenoir
43	Fuquay-Varina	21277	17937	Town	Wake
44	Havelock	20940	20735	City	Craven
45	Carrboro	20908	19582	Town	Orange
46	Shelby 	20270	20323	City	Cleveland
47	Clemmons	19329	18627	Village	Forsyth
48	Lexington 	18993	18931	City	Davidson
49	Elizabeth City 	18266	18683	City	Pasquotank
50	Boone 	18211	17122	City	Watauga
