City	County	Population (2011 census estimate)	Incorporation date
Albany	Albany	97660	1686
Amsterdam	Montgomery	18507	1830
Auburn	Cayuga	27590	1848
Batavia	Genesee	15444	1915
Beacon	Dutchess	15565	1913
Binghamton	Broome	46996	1867
Buffalo	Erie	261025	1832
Canandaigua	Ontario	10604	1913
Cohoes	Albany	16133	1869
Corning	Steuben	11187	1890
Cortland	Cortland	19212	1900
Dunkirk	Chautauqua	12511	1888
Elmira	Chemung	29204	1864
Fulton	Oswego	11906	1902
Geneva	Ontario[A]	13324	1898
Glen Cove	Nassau	27063	1918
Glens Falls	Warren	14728	1908
Gloversville	Fulton	15621	1890
Hornell	Steuben	8566	1888
Hudson	Columbia	6657	1785
Ithaca	Tompkins	30054	1888
Jamestown	Chautauqua	31020	1886
Johnstown	Fulton	8718	1895
Kingston	Ulster	23887	1872
Lackawanna	Erie	18121	1909
Little Falls	Herkimer	5188	1895
Lockport	Niagara	21119	1865
Long Beach	Nassau	33395	1922
Mechanicville	Saratoga	5227	1915
Middletown	Orange	28243	1888
Mount Vernon	Westchester	67780	1892
New Rochelle	Westchester	77606	1889
New York	Bronx Kings New York Queens and Richmond	8244910	1653
Newburgh	Orange	29026	1865
Niagara Falls	Niagara	50086	1892
North Tonawanda	Niagara	31501	1897
Norwich	Chenango	7139	1914
Ogdensburg	St. Lawrence	11104	1868
Olean	Cattaraugus	14363	1854
Oneida	Madison	11387	1901
Oneonta	Otsego	13843	1908
Oswego	Oswego	18158	1848
Peekskill	Westchester	23755	1940
Plattsburgh	Clinton	19949	1902
Port Jervis	Orange	8878	1907
Poughkeepsie	Dutchess	32790	1854
Rensselaer	Rensselaer	9391	1897
Rochester	Monroe	210855	1834
Rome	Oneida	33660	1870
Rye	Westchester	15834	1942
Salamanca	Cattaraugus	5780	1913
Saratoga Springs	Saratoga	26727	1915
Schenectady	Schenectady	66273	1798
Sherrill	Oneida	3147	1916
Syracuse	Onondaga	145151	1848
Tonawanda	Erie	15112	1904
Troy	Rensselaer	50120	1816
Utica	Oneida	62110	1832
Watertown	Jefferson	27423	1869
Watervliet	Albany	10230	1896
White Plains	Westchester	57258	1916
Yonkers	Westchester	197399	1872
