"district","urban","living.children","age_mean","contraceptive_use"
35,0,4,2.44,0
22,0,2,-1.5599,1
29,0,2,-8.5599,1
5,0,3,-4.5599,1
34,1,4,8.44,0
30,0,4,11.44,1
10,0,1,-12.559,0
5,0,4,13.44,0
44,0,4,1.44,0
58,0,2,-6.5599,0
24,0,1,-11.559,0
51,1,4,-1.5599,0
30,0,4,7.44,1
28,1,4,9.44,0
46,1,4,7.44,1
58,1,4,3.44,1
36,1,4,12.44,0
14,1,2,-3.5599,0
46,1,1,-10.559,0
56,0,1,-2.5599,1
19,0,2,5.44,0
34,0,4,-2.5599,1
18,1,1,-1.56,0
56,0,2,10.44,1
56,1,1,-9.5599,1
31,0,4,2.44,1
43,0,4,12.44,1
25,1,1,-9.5599,0
8,0,2,-7.5599,1
30,0,1,3.44,0
60,0,1,-3.5599,0
25,0,1,-5.5599,0
28,0,4,3.44,0
14,1,1,-8.5599,1
46,0,3,-0.5599,1
40,1,1,12.44,1
24,0,1,-8.5599,0
30,0,4,2.44,1
4,0,3,-9.5599,0
6,0,1,-11.559,0
7,0,4,6.44,0
61,0,4,14.44,0
26,0,2,-2.5599,1
14,1,2,3.44,1
14,1,1,-6.5599,0
21,1,1,-12.559,1
8,0,4,11.44,0
8,0,4,9.44,0
34,0,3,8.44,0
5,0,4,11.44,0
5,0,4,14.44,1
56,1,2,-11.559,0
45,0,4,1.44,0
13,0,2,-3.5599,1
14,1,3,3.44,1
52,1,1,-12.559,1
6,0,2,-5.5599,0
29,1,1,10.44,1
13,1,4,6.44,1
1,1,1,-11.56,1
43,0,4,12.44,1
45,0,4,1.44,0
13,1,1,-7.5599,1
56,1,2,-7.5599,1
48,0,3,0.44,1
28,0,1,-7.56,0
46,0,4,6.44,1
16,0,1,-12.56,0
22,0,1,-11.559,0
57,0,4,18.44,0
19,0,4,2.44,1
24,0,4,4.44,0
44,0,4,16.44,1
46,0,1,-7.5599,1
34,0,4,8.44,1
46,0,1,-12.56,1
17,0,1,-12.559,0
21,1,2,-6.5599,0
7,0,2,-7.56,0
14,1,1,-8.5599,1
6,0,1,-9.5599,0
56,1,1,-9.5599,1
61,0,4,1.44,0
36,0,3,-3.5599,1
28,0,2,-7.56,0
60,0,1,-7.5599,0
1,0,4,7.44,0
28,0,4,19.44,0
42,0,3,9.44,1
10,0,4,6.44,0
12,0,2,-7.5599,0
1,1,1,-4.5599,1
16,1,1,-9.5599,1
17,0,4,5.44,1
29,1,1,-0.5599,0
39,0,1,-13.559,0
46,0,4,8.44,0
51,0,2,-8.5599,1
44,0,3,1.44,1
39,0,4,10.44,1
59,0,4,10.44,0
37,0,4,16.44,0
37,0,4,9.44,1
40,1,2,-1.5599,1
16,0,2,-10.559,1
12,0,4,19.44,0
22,0,3,-4.5599,1
27,0,1,-7.56,0
25,0,2,-10.559,1
32,0,3,4.44,0
25,0,2,-5.5599,0
18,0,4,7.44,0
12,1,1,4.44,1
4,1,2,-10.559,1
14,1,3,-7.5599,1
20,0,1,-12.56,1
35,1,2,-9.5599,0
45,0,3,4.44,0
1,1,4,5.44,0
15,0,1,-7.56,0
8,0,2,0.44,0
44,0,1,-7.5599,0
53,1,1,-1.56,0
15,0,2,-8.5599,0
1,0,3,-3.5599,0
52,0,4,6.44,0
52,0,4,11.44,1
19,0,4,5.44,0
14,1,1,-9.5599,1
10,0,1,-9.5599,0
9,0,3,-5.5599,0
19,0,1,0.44,1
59,0,2,-8.5599,0
6,0,3,-4.56,1
48,1,2,-4.5599,0
52,1,2,-9.5599,0
43,1,1,-6.5599,1
56,0,4,15.44,0
17,0,4,11.44,0
56,1,4,9.44,1
29,0,4,0.44,1
6,0,4,13.44,0
3,1,4,-3.5599,1
34,0,2,-9.5599,0
13,0,1,-7.5599,0
58,1,2,3.44,0
11,0,4,18.44,0
5,0,4,6.44,1
6,0,1,-11.559,0
32,0,4,8.44,0
48,0,2,0.44,0
1,0,1,-7.5599,0
1,1,1,-11.56,0
7,0,4,3.44,1
14,1,2,-5.5599,1
6,0,4,16.44,0
